player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2021,PO,MIA,24,12,-20.13015022384491,13.44586878765987,-6.684281436185042,-12.89760948244911,25.76623239995153,12.86862291750241,-19.52421578888442,16.88536478602382,-2.638851002860601,.0007213382661022,0,.0007213382661022,-14.2398128917133,7.007385954837463,-7.232426936875842,2.725035504195108
Precious Achiuwa,achiupr01,2021,RS,MIA,1557,737,-3.876226664949832,1.172972197646653,-2.703254467303179,-3.914411646857353,-1.331055925037481,-5.245467571894835,-4.11365954381496,.7092635608766185,-3.404395982938342,-.2467763890141763,-.2467763890141763,0,-3.657063762175829,.3741334787152359,-3.282930283460593,.2922265755063235
Jaylen Adams,adamsja01,2021,RS,MIL,41,18,-13.07811206524385,-3.298021127143402,-16.37613319238725,-26.63872288784674,7.257894122811374,-19.38082876503537,-16.82614598684294,-1.405128757447878,-18.23127474429081,-.1395909669229828,-.1395909669229828,0,-12.86383997073559,-4.114458838414001,-16.97829880914959,-1.834433202271871
Steven Adams,adamsst01,2021,RS,NOP,3313,1605,-1.463698040302408,2.084762655974076,.6210646156716675,3.476685928295701,-3.62578670206067,-.1491007737649688,-.5422968857270318,1.044020901375203,.5017240156481708,2.630392460475527,2.630392460475527,0,-.7283666850613467,1.333237332272016,.6048706472106694,-1.226775224493624
Bam Adebayo,adebaba01,2021,PO,MIA,293,136,-4.199526978051793,-.7456521920805851,-4.945179170132378,-2.739388970299278,11.06013903703619,8.320750066736915,-3.965208747316496,1.67965398184255,-2.285554765473947,.0338520701961142,0,.0338520701961142,-3.413399067756377,1.575706367256419,-1.837692700499958,1.814532787098083
Bam Adebayo,adebaba01,2021,RS,MIA,4362,2143,.2332925923824105,2.069195499868645,2.302488092251056,.8215851060942166,.1397398040958246,.9613249101900412,.3884992446294018,1.780973979940327,2.169473224569729,5.372651993406977,5.372651993406977,0,.3817193924681303,1.439492007842533,1.821211400310664,-.1144482278479755
LaMarcus Aldridge,aldrila01,2021,RS,SAS,1138,544,-3.087085399893438,-.9550212909930896,-4.042106690886528,-1.886924386697094,-2.351192860729431,-4.238117247426525,-3.010903109465083,-1.281931967086538,-4.292835076551621,-.4263743519559068,-.4263743519559068,0,-3.040172590375569,-.5095533090061194,-3.549725899381688,-.4333397929974169
LaMarcus Aldridge,aldrila01,2021,RS,BRK,265,130,-.8708777006613144,1.091187195145843,.2203094944845285,4.687151898488887,.3568202682874608,5.043972166776348,.1511870824312404,1.016057194428981,1.167244276860221,.2587095652443001,.2587095652443001,0,.8411488879811495,.3487233364565537,1.189872224437703,-.4296794521419376
Nickeil Alexander-Walker,alexani01,2021,RS,NOP,2109,1007,-.8615831981524991,.7079827083220053,-.1536004898304938,-2.789302282316365,.2900261014664397,-2.499276180849925,-1.330796542096287,.6886160071676919,-.6421805349285952,1.087195882880593,1.087195882880593,0,-.542900444983253,.8097760181494571,.2668755731662041,.3970775203655505
Ty-Shon Alexander,alexaty01,2021,PO,PHO,3,1,25.86796699045825,-3.340924940111826,22.52704205034642,-24.17839910898387,-.5639773510657436,-24.74237646004961,16.97498325656633,-2.895703823068639,14.07927943349769,.0089040554321373,0,.0089040554321373,12.10047223952215,-8.695566933534414,3.404905305987732,.5370563219342965
Ty-Shon Alexander,alexaty01,2021,RS,PHO,98,47,-2.977130788801976,-1.617488026979883,-4.594618815781859,-7.897569326364366,-1.384788240860896,-9.282357567225263,-4.223766718788091,-1.715589462831687,-5.939356181619777,-.0761387167143775,-.0761387167143775,0,-4.068195717426731,-4.92553722267245,-8.99373294009918,-.4490804617515893
Grayson Allen,allengr01,2021,PO,MEM,245,116,-.948345217922423,-3.180023143347922,-4.128368361270345,-7.68591233105028,-2.906059586662262,-10.59197191771254,-2.538643839709184,-3.199314909438189,-5.737958749147372,-.1833293401129989,0,-.1833293401129989,-.1871928365409088,-1.333177926444105,-1.520370762985014,.5091416137265448
Grayson Allen,allengr01,2021,RS,MEM,2684,1259,.3547716478560722,.4552467329597573,.8100183808158294,-1.048064704937603,-.5112398669863951,-1.559304571923998,.0881656983665573,.2672208457583509,.3553865441249082,2.001217878076609,2.001217878076609,0,.2750839608111285,.2753560292182199,.5504399900293484,.3289553940802171
Jarrett Allen,allenja01,2021,RS,BRK,690,320,.941308323961527,4.356140700621011,5.297449024582538,2.262121055132499,2.825379292291766,5.087500347424265,1.222435077350705,4.324291500325549,5.546726577676254,1.363338833741869,1.363338833741869,0,1.769438898097686,2.924036692875728,4.693475590973414,.6546646229538957
Jarrett Allen,allenja01,2021,RS,CLE,3153,1544,-1.132597446202196,1.830268309419714,.6976708632175177,-1.009432388772427,-2.275227504596119,-3.284659893368547,-1.106574441416949,1.119136496052208,.0125620546352592,2.165595554827585,2.165595554827585,0,-1.344798795196137,.5586750505851936,-.7861237446109437,-.4922774752451249
Al-Farouq Aminu,aminual01,2021,RS,CHI,134,67,-5.07823910643703,-.7979242798675783,-5.876163386304608,1.50958539153535,8.078061894704684,9.587647286240033,-3.937669986644512,1.038555409901171,-2.89911457674334,-.0050748676482538,-.0050748676482538,0,-2.58096524489488,-.6570290125666831,-3.237994257461563,-.4432596856972975
Al-Farouq Aminu,aminual01,2021,RS,ORL,753,367,-3.426049783034188,3.58730328099593,.1612534979617424,-2.619773032595669,.0068716091820068,-2.612901423413662,-3.411658539122339,3.090442670352714,-.3212158687696247,.4557378271032452,.4557378271032452,0,-3.109879017145748,1.95779495571787,-1.152084061427878,.2140493134376177
Kyle Anderson,anderky01,2021,PO,MEM,300,142,1.101703107367124,5.259349052591643,6.361052159958767,-3.362855176820266,5.852575589640876,2.489720412820611,.1201697877897442,5.78949856532261,5.909668353112354,.6535354423426649,0,.6535354423426649,2.765444321592178,7.829444814824146,10.59488913641632,.9825069805741773
Kyle Anderson,anderky01,2021,RS,MEM,4023,1887,1.229643276093003,2.22595270818408,3.455595984277084,-2.168821038189324,1.610060776700616,-.5587602614887079,.5999820436009232,2.217285642956474,2.817267686557397,5.379237123622119,5.379237123622119,0,.4633404716252956,2.173779914690753,2.637120386316048,.3648162857919877
Giannis Antetokounmpo,antetgi01,2021,PO,MIL,1633,800,4.159936698571368,2.336093153097411,6.496029851668778,-.9324779108159337,6.443495520561888,5.511017609745955,3.343624325163801,3.236280509256716,6.579904834420518,3.948106789201526,0,3.948106789201526,2.910820442452246,3.865650862273149,6.776471304725395,.5142046076292938
Giannis Antetokounmpo,antetgi01,2021,RS,MIL,4369,2013,5.135909480054218,1.584510814508152,6.72042029456237,1.67872593863878,3.283865595876308,4.962591534515088,4.583794929179528,2.007571801457564,6.591366730637092,9.718689425925076,9.718689425925076,0,4.59919832356246,1.873143618049459,6.472341941611918,1.313541306768096
