player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Arron Afflalo,afflaar01,2010,4680,2341,0.371426836,-0.429075392,-0.057648556,3.227140916,2.92122235,0.305918566,0.082263546,-0.42845779,-0.346194243,0.082422221
Alexis Ajinca,ajincal01,2010,57,30,-5.753781699,0.266939175,-5.486842524,-0.042458406,-0.042458406,0,-5.616268512,-0.184063634,-5.800332146,1.273449124
LaMarcus Aldridge,aldrila01,2010,5821,3151,0.494712677,1.053571368,1.548284046,6.881575233,6.570551023,0.31102421,0.766722024,1.375944174,2.142666198,-0.504852864
Joe Alexander,alexajo01,2010,57,29,-2.581354922,-0.506908733,-3.088263655,-0.005143949,-0.005143949,0,-3.266970714,1.469870827,-1.797099887,2.608262808
Malik Allen,allenma01,2010,933,467,-4.512084185,-2.577140675,-7.08922486,-1.037663133,-1.05901744,0.021354307,-4.532950772,-2.84146086,-7.374411631,0.401378274
Ray Allen,allenra02,2010,7180,3744,3.067216715,-0.0677454,2.999471315,11.09093188,7.754880783,3.336051095,2.755495365,0.079912904,2.835408269,-0.064129727
Tony Allen,allento01,2010,2451,1280,-1.962691155,2.769691713,0.807000558,2.37721208,1.436322594,0.940889486,-2.047030308,2.591057277,0.544026968,0.798950443
Rafer Alston,alstora01,2010,2712,1421,-3.203908388,0.11992563,-3.083982758,-0.236117162,-0.236117162,0,-2.816214798,0.121302089,-2.694912708,1.104218029
Louis Amundson,amundlo01,2010,2718,1362,-1.720400077,1.035106854,-0.685293223,1.451497781,1.122679765,0.328818016,-1.723926153,0.767427418,-0.956498735,0.091151075
Antonio Anderson,anderan02,2010,29,15,-5.757361679,-2.059474446,-7.816836125,-0.038535865,-0.038535865,0,-6.22977341,-3.865917727,-10.09569114,-0.582511221
Chris Andersen,anderch01,2010,3621,1811,-0.020471957,2.754796781,2.734324824,5.04398559,4.987214573,0.056771017,-0.48344981,1.87547474,1.39202493,-0.519300503
David Andersen,anderda03,2010,1765,891,-2.550925056,0.233410656,-2.3175144,0.19759688,0.19759688,0,-2.394605345,-0.161505798,-2.556111143,0.474601929
Ryan Anderson,anderry01,2010,1928,1000,1.704229287,0.134550838,1.838780124,2.337648733,2.324680707,0.012968026,2.201006574,-0.507671729,1.693334844,0.363751763
Carmelo Anthony,anthoca01,2010,5776,2888,3.392805436,-0.527099653,2.865705783,8.303335631,7.233331128,1.070004503,3.75743003,-0.313073363,3.444356667,-0.00238793
